23/03/21 01:36:44 724 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:44 726 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:44 728 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:44 731 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:44 735 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:44 737 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:46 191 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:46 193 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:49 654 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:49 655 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:49 658 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:49 661 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:49 664 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:49 665 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:49 667 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:49 669 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:53 616 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:53 617 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:56 715 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:56 716 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:56 719 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:56 720 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:56 723 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:56 724 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:56 727 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:56 729 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:02 942 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:02 942 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:09 894 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:09 896 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:09 900 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:09 902 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:09 904 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:09 906 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:09 909 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:09 910 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:11 971 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:11 975 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:11 982 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:11 984 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:15 862 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:15 863 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:18 585 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:18 585 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:23 298 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:23 300 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:23 302 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:23 304 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:23 307 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:23 308 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:23 310 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:37:23 312 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:37:51 911 [info]:  >> DB 접속됨 [threaId=978]
23/03/21 01:37:51 914 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:37:51 922 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:37:51 928 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:37:51 931 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:37:51 933 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:37:51 936 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:37:51 939 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:37:51 941 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:37:58 324 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:37:58 337 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:37:58 342 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:37:58 344 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:37:58 347 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:37:58 349 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:37:58 354 [info]:  >> Connection 임대됨 [threadId=978]
23/03/21 01:37:58 355 [info]:  >> Connection 반납됨 [threadId=978]
23/03/21 01:38:00 936 [info]:  >> Connection 임대됨 [threadId=978]
